concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201000193,Recipe,凉拌油麦菜,凉拌油麦菜 (Recipe),凉拌油麦菜,[],素菜,1.0,,10分钟,0分钟,1-2人,"芝麻酱可以用花生酱代替,芝麻酱一定要和油麦菜混合均匀才更好吃",dishes/vegetable_dish/凉拌油麦菜.md,,,,,,,,
201000194,Ingredient,油麦菜,油麦菜 (Ingredient),油麦菜,[],蔬菜,,,,,,,,200,g,True,,,,,
201000195,Ingredient,醋,醋 (Ingredient),醋,[],调料,,,,,,,,15,ml,False,,,,,
201000196,Ingredient,酱油,酱油 (Ingredient),酱油,[],调料,,,,,,,,5,ml,False,,,,,
201000197,Ingredient,芝麻酱,芝麻酱 (Ingredient),芝麻酱,[],调料,,,,,,,,10,ml,False,,,,,
201000198,Ingredient,香油,香油 (Ingredient),香油,[],调料,,,,,,,,5,ml,False,,,,,
201000199,Ingredient,糖,糖 (Ingredient),糖,[],调料,,,,,,,,5,g,False,,,,,
201000200,Ingredient,蚝油,蚝油 (Ingredient),蚝油,[],调料,,,,,,,,10,ml,False,,,,,
201000201,Ingredient,蒜,蒜 (Ingredient),蒜,[],调料,,,,,,,,2,头,False,,,,,
201000202,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,蒜拍碎切末,1.0,"切,拍","刀,案板",
201000203,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,醋，酱油，芝麻酱，香油，糖，蚝油，蒜末放到碗里搅拌均匀,2.0,搅拌,"碗,筷子",
201000204,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,油麦菜切段，每段不超过4cm,3.0,切,"刀,案板",
201000205,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,"油麦菜放到一个大点的盆里,倒入上述碗中酱料,充分搅拌均匀",4.0,搅拌,"盆,筷子",
201000206,Recipe,雷椒皮蛋,雷椒皮蛋 (Recipe),雷椒皮蛋,[],素菜,2.0,,10分钟,5分钟,1,"去除青椒子防止炸锅,可选小米辣增加辣味,两种处理皮蛋方式可选",dishes/vegetable_dish/雷椒皮蛋.md,,,,,,,,
201000207,Ingredient,皮蛋,皮蛋 (Ingredient),皮蛋,[],蛋白质,,,,,,,,2,个,True,,,,,
201000208,Ingredient,青椒,青椒 (Ingredient),青椒,"[{'term': '柿子椒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '甜椒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '彩椒', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,4,根,True,,,,,
201000209,Ingredient,葱,葱 (Ingredient),葱,[],蔬菜,,,,,,,,10,cm,False,,,,,
201000210,Ingredient,蒜,蒜 (Ingredient),蒜,[],蔬菜,,,,,,,,4,瓣,False,,,,,
201000211,Ingredient,小米辣,小米辣 (Ingredient),小米辣,[],蔬菜,,,,,,,,4,颗,False,,,,,
201000212,Ingredient,食用油,食用油 (Ingredient),食用油,[],调料,,,,,,,,20,ml,False,,,,,
201000213,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,20,ml,False,,,,,
201000214,Ingredient,陈醋,陈醋 (Ingredient),陈醋,[],调料,,,,,,,,20,ml,False,,,,,
201000215,Ingredient,白糖,白糖 (Ingredient),白糖,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,10,g,False,,,,,
201000216,Ingredient,香油,香油 (Ingredient),香油,[],调料,,,,,,,,7,ml,False,,,,,
201000217,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,青椒清洗，去除根部，侧面切开，去除内部的子后在案板压平，备用（一定要去除青椒子，否则会在锅里炸开）,1.0,"清洗,切,压","刀,案板",
201000218,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,葱切成半厘米小段，备用,2.0,切,刀,
201000219,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,蒜去皮，切成碎末，备用,3.0,"去皮,切",刀,
201000220,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,皮蛋去皮，备用,4.0,去皮,,
201000221,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,小米辣，切成 5-10mm 的小段，备用,5.0,切,刀,
201000222,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,热锅，锅内放入 10ml - 20ml 食用油,6.0,煎,炒锅,
201000223,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,放入全部青椒，改小火保持锅子温度，煎至青椒变软（可以用筷子试一下，插入即透即可）,7.0,煎,"炒锅,筷子",3-5分钟
201000224,CookingStep,步骤8,步骤8 (Cooking Step),步骤8,,,,,,,,,,,,,关火，将皮蛋和青椒放入小铁盆中,8.0,,小铁盆,
201000225,CookingStep,步骤9,步骤9 (Cooking Step),步骤9,,,,,,,,,,,,,方法 1：有擀面杖且砸东西不会吵到邻居：用擀面杖的一头在小盆中砸击皮蛋和青椒，至皮蛋与青椒混合（选项）；方法 2：将青椒用手撕开，撕成大约半厘米的条状，用叉子将皮蛋压碎（选项）,9.0,"砸,撕,压","擀面杖,叉子,手",
201000226,CookingStep,步骤10,步骤10 (Cooking Step),步骤10,,,,,,,,,,,,,加入小米辣，倒入生抽，陈醋，白糖，香油，以及其他未使用的备用食材,10.0,混合,,
201000227,CookingStep,步骤11,步骤11 (Cooking Step),步骤11,,,,,,,,,,,,,均匀搅拌,11.0,搅拌,,
201000228,Recipe,酸辣土豆丝,酸辣土豆丝 (Recipe),酸辣土豆丝,"[{'term': '酸辣马铃薯丝', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '酸辣potato丝', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '酸辣洋芋丝', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,2.0,川菜,10分钟,5分钟,1,"清洗土豆丝淀粉一定要去干净，不然会全黏在一起,加入蒜末、盐后应尽快出锅，保留蒜香以及避免破坏口感",dishes/vegetable_dish/酸辣土豆丝.md,,,,,,,,
201000229,Ingredient,土豆,土豆 (Ingredient),土豆,"[{'term': '马铃薯', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '洋芋', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '地蛋', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,240,g,True,,,,,
201000230,Ingredient,大蒜,大蒜 (Ingredient),大蒜,[],蔬菜,,,,,,,,4,瓣,False,,,,,
201000231,Ingredient,青椒,青椒 (Ingredient),青椒,"[{'term': '柿子椒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '甜椒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '彩椒', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,0.5,个,False,,,,,
201000232,Ingredient,红椒,红椒 (Ingredient),红椒,[],蔬菜,,,,,,,,0.5,个,False,,,,,
201000233,Ingredient,干辣椒,干辣椒 (Ingredient),干辣椒,[],调料,,,,,,,,3,个,False,,,,,
201000234,Ingredient,葱,葱 (Ingredient),葱,[],蔬菜,,,,,,,,1,根,False,,,,,
201000235,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,5,ml,False,,,,,
201000236,Ingredient,陈醋,陈醋 (Ingredient),陈醋,[],调料,,,,,,,,10,ml,False,,,,,
201000237,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,2,g,False,,,,,
201000238,Ingredient,食用油,食用油 (Ingredient),食用油,[],调料,,,,,,,,10-15,ml,False,,,,,
201000239,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,土豆去皮、切丝（或用刨丝器）。,1.0,切,"刀,刨丝器",
201000240,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,切好的土豆丝用清水清洗，去除多余的淀粉，然后对土豆丝焯水 10 秒。沥干，备用。,2.0,"清洗,焯水,沥干","盆,锅",10秒
201000241,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,葱蒜干辣椒切小块，青红椒切丝。,3.0,切,"刀,案板",
201000242,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,热锅，小火热油爆香蒜和干辣椒。,4.0,炒,"炒锅,锅铲",
201000243,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,加入青红椒翻炒几下，加入土豆丝翻炒至变色。,5.0,炒,"炒锅,锅铲",
201000244,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,加 5ml 生抽，10ml 陈醋，蒜末，最后加入盐翻炒均匀即可。,6.0,炒,"炒锅,锅铲",
201000245,Recipe,蒲烧茄子,蒲烧茄子 (Recipe),蒲烧茄子,"[{'term': '蒲烧eggplant', 'language': 'en', 'language_code': 'en-US'}, {'term': '蒲烧青茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '蒲烧紫茄子', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,3.0,,10分钟,15分钟,1,"可使用现成蒲烧汁,装盘后可撒2~5mm小葱增香解腻,推荐使用长形上小下大的茄子，避免浙茄和圆茄,收汁困难时可加水淀粉（比例1:4至1:10）",dishes/vegetable_dish/蒲烧茄子.md,,,,,,,,
201000246,Ingredient,茄子,茄子 (Ingredient),茄子,[],蔬菜,,,,,,,,1,个,True,,,,,
201000247,Ingredient,蜂蜜,蜂蜜 (Ingredient),蜂蜜,[],调料,,,,,,,,20,ml,False,,,,,
201000248,Ingredient,白糖,白糖 (Ingredient),白糖,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,15,ml,False,,,,,
201000249,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,40,ml,False,,,,,
201000250,Ingredient,老抽,老抽 (Ingredient),老抽,"[{'term': '深色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '红烧酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,10,ml,False,,,,,
201000251,Ingredient,料酒,料酒 (Ingredient),料酒,"[{'term': '黄酒', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绍兴酒', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,20,ml,False,,,,,
201000252,Ingredient,水,水 (Ingredient),水,[],调料,,,,,,,,100,ml,False,,,,,
201000253,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,茄子削皮、横着切成两段,1.0,切,"刀,案板",
201000254,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,蒸5分钟,2.0,蒸,蒸锅,5分钟
201000255,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,纵向切开，不要切断，在两边切面各划2~3刀至可以摊平,3.0,切,"刀,案板",
201000256,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,煎至两面金黄,4.0,煎,"不粘锅或铁锅,锅铲",约5分钟
201000257,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,往茄子上浇蒲烧汁至没过1/2茄子高度,5.0,浇汁,"锅,勺",
201000258,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,煎至背面上色，翻面，同时收汁，若无法收汁可以加入水淀粉（生粉和水的比例在1:4到1:10根据收汁情况而定）,6.0,"煎,收汁","锅,锅铲,勺",约5分钟
201000259,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,把剩下的蒲烧汁浇在茄子上,7.0,浇汁,勺,
201000260,CookingStep,步骤8,步骤8 (Cooking Step),步骤8,,,,,,,,,,,,,出锅，一份茄子烧蒲烧汁就烧好了,8.0,装盘,"盘子,锅铲",
201000261,Recipe,炒茄子,炒茄子 (Recipe),炒茄子,"[{'term': '炒青茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '炒eggplant', 'language': 'en', 'language_code': 'en-US'}, {'term': '炒紫茄子', 'language': 'zh', 'language_code': 'zh-CN'}]",素菜,3.0,,5-10分钟,3-5分钟,1-2人,"不加水,大火快炒,油量充足,酱油代替盐,糖醋最后加,避免酸味挥发",dishes/vegetable_dish/炒茄子.md,,,,,,,,
201000262,Ingredient,茄子,茄子 (Ingredient),茄子,[],蔬菜,,,,,,,,1.8,个,True,,,,,
201000263,Ingredient,八角,八角 (Ingredient),八角,"[{'term': '大料', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '茴香', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,1,个,False,,,,,
201000264,Ingredient,虾皮,虾皮 (Ingredient),虾皮,[],蛋白质,,,,,,,,半把,,False,,,,,
201000265,Ingredient,香葱,香葱 (Ingredient),香葱,[],蔬菜,,,,,,,,2,颗,False,,,,,
201000266,Ingredient,肉末,肉末 (Ingredient),肉末,[],蛋白质,,,,,,,,50,g,False,,,,,
201000267,Ingredient,酱油,酱油 (Ingredient),酱油,[],调料,,,,,,,,40,ml,False,,,,,
201000268,Ingredient,糖,糖 (Ingredient),糖,[],调料,,,,,,,,5,g,False,,,,,
201000269,Ingredient,醋,醋 (Ingredient),醋,[],调料,,,,,,,,10,ml,False,,,,,
201000270,Ingredient,菜籽油或花生油,菜籽油或花生油 (Ingredient),菜籽油或花生油,[],调料,,,,,,,,适量,,False,,,,,
201000271,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,将茄子洗净，一刀分为两段（竖切）。每段的茄子切菱形块，将切好的茄子放入碗中待命。,1.0,"切,洗","刀,盆",
201000272,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,将香葱洗净，并切成葱花放到案板上待命。,2.0,"切,洗","刀,案板",
201000273,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,切好八角，放到案板上待命。,3.0,切,"刀,案板",
201000274,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,如果打算放肉末，先用10 ml（如果是纯瘦肉，用15 ml）油中火炒至变色（约1分钟），然后盛出备用。,4.0,炒,"炒锅,锅铲",1分钟
201000275,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,开火热锅，直至锅内没有水。,5.0,热锅,炒锅,
201000276,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,往锅内倒食用油，没过锅底的两倍（油可以多加，但不可少加）。,6.0,,炒锅,
201000277,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,热油约6成熟，放入八角、虾皮、香葱这三种可选性材料。,7.0,炒,"炒锅,锅铲",
201000278,CookingStep,步骤8,步骤8 (Cooking Step),步骤8,,,,,,,,,,,,,如果没有八角等可选材料，热油至9成熟。,8.0,热油,炒锅,
201000279,CookingStep,步骤9,步骤9 (Cooking Step),步骤9,,,,,,,,,,,,,待锅内的油到9成熟，将碗中的茄子倒入锅内用锅铲进行翻炒。,9.0,炒,"炒锅,锅铲",
201000280,CookingStep,步骤10,步骤10 (Cooking Step),步骤10,,,,,,,,,,,,,翻炒约40秒，将锅铲悬空，与锅平行，把酱油倒入锅铲内。一人约2.5锅铲（酱油可以少加，但不可多加，会咸）。,10.0,炒,"锅铲,炒锅",40秒
201000281,CookingStep,步骤11,步骤11 (Cooking Step),步骤11,,,,,,,,,,,,,茄子炒到半软时（约1分钟后），放回预炒的肉末，快速搅拌均匀。,11.0,"炒,搅拌","炒锅,锅铲",1分钟
201000282,CookingStep,步骤12,步骤12 (Cooking Step),步骤12,,,,,,,,,,,,,如果打算加入糖和醋，加入糖和醋。,12.0,加料,"炒锅,锅铲",
201000283,CookingStep,步骤13,步骤13 (Cooking Step),步骤13,,,,,,,,,,,,,继续进行翻炒。,13.0,炒,"炒锅,锅铲",
201000284,CookingStep,步骤14,步骤14 (Cooking Step),步骤14,,,,,,,,,,,,,等到锅内所有茄子变色且变软时捞出。,14.0,"炒,捞出","炒锅,锅铲",
201000285,Recipe,凉拌黄瓜,凉拌黄瓜 (Recipe),凉拌黄瓜,[],素菜,1.0,,20分钟,0分钟,1,"黄瓜端头有苦味需确认,可冷藏后食用,冷藏需用保鲜膜包紧,8小时内食用完毕,推荐去皮口感更好",dishes/vegetable_dish/凉拌黄瓜.md,,,,,,,,
201000286,Ingredient,黄瓜,黄瓜 (Ingredient),黄瓜,[],蔬菜,,,,,,,,200,克,True,,,,,
201000287,Ingredient,醋,醋 (Ingredient),醋,[],调料,,,,,,,,11.5,ml,False,,,,,
201000288,Ingredient,酱油,酱油 (Ingredient),酱油,[],调料,,,,,,,,7.5,ml,False,,,,,
201000289,Ingredient,蒜,蒜 (Ingredient),蒜,[],调料,,,,,,,,3,瓣,False,,,,,
201000290,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,0.6,克,False,,,,,
201000291,Ingredient,香油,香油 (Ingredient),香油,[],调料,,,,,,,,7,ml,False,,,,,
201000292,Ingredient,蚝油,蚝油 (Ingredient),蚝油,[],调料,,,,,,,,5,ml,False,,,,,
201000293,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,用菜刀将黄瓜拍扁，再剁成长3厘米的碎块,1.0,"拍,切","菜刀,案板",
201000294,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,将碎黄瓜装入碗中,2.0,装,碗,
201000295,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,将蒜拍碎切成碎末,3.0,"拍,切","菜刀,案板",
201000296,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,将醋，酱油，盐，蚝油和蒜依次倒入碗中搅拌均匀并腌制15分钟,4.0,"搅拌,腌制","碗,筷子",15分钟
201000297,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,将香油倒入碗中并均匀搅拌,5.0,搅拌,"碗,筷子",
201000298,Recipe,凉拌金针菇,凉拌金针菇 (Recipe),凉拌金针菇,[],素菜,2.0,,5分钟,2分钟,1,"焯水时间不宜过长以免影响口感,酱汁比例可根据个人口味调整,不吃辣可省略辣椒油",dishes/vegetable_dish/凉拌金针菇.md,,,,,,,,
201000299,Ingredient,金针菇,金针菇 (Ingredient),金针菇,[],蔬菜,,,,,,,,150,g,True,,,,,
201000300,Ingredient,小葱,小葱 (Ingredient),小葱,"[{'term': '香葱', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '细葱', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,5,g,False,,,,,
201000301,Ingredient,大蒜,大蒜 (Ingredient),大蒜,[],蔬菜,,,,,,,,2,瓣,False,,,,,
201000302,Ingredient,生抽,生抽 (Ingredient),生抽,"[{'term': '淡色酱油', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '鲜味酱油', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,15,ml,False,,,,,
201000303,Ingredient,醋,醋 (Ingredient),醋,[],调料,,,,,,,,10,ml,False,,,,,
201000304,Ingredient,白糖,白糖 (Ingredient),白糖,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,3,g,False,,,,,
